,Country,HS4,Trade Value Relatedness
262,Mauritania,Crude Petroleum,0.045952266
263,Mauritania,Tropical Fruits,0.0458606061
264,Mauritania,Petroleum Gas,0.0425942178
265,Mauritania,Raw Sugar,0.0420210547
266,Mauritania,Other Oily Seeds,0.0416148525
267,Mauritania,Other Ores,0.0404748109
268,Mauritania,Salt,0.0404329226
269,Mauritania,Palm Oil,0.0402579865
270,Mauritius,Other Cloth Articles,0.2286407696
271,Mauritius,Bananas,0.2109596558
272,Mauritius,Packing Bags,0.2086890501
273,Mauritius,Crustaceans,0.2076096165
274,Mauritius,Other Women's Undergarments,0.2030448079
275,Mauritius,Molasses,0.2011628059
276,Mauritius,Raw Tobacco,0.2006084459
277,Mauritius,Cocoa Beans,0.1974934134
278,Mauritius,Cassava,0.1961291374
279,Mauritius,Processed Crustaceans,0.1960094349
280,Malawi,Gold,0.1202392858
281,Malawi,Cocoa Beans,0.1159056653
282,Malawi,Palm Oil,0.1061819472
283,Malawi,Bananas,0.1036930812
284,Malawi,Manganese Ore,0.1008375305
285,Malawi,Molasses,0.1005184831
286,Malawi,"Coconuts, Brazil Nuts, and Cashews",0.0994690084
287,Malawi,Spices,0.0973026599
288,Malawi,Maté,0.0970116043
289,Malawi,Melons,0.0943039491
290,Niger,Cocoa Beans,0.0602185317
291,Niger,Raw Cotton,0.0577290353
292,Niger,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0552843864
293,Niger,Manganese Ore,0.0552740287
294,Niger,Tropical Fruits,0.0541763183
295,Niger,Ground Nuts,0.0505577391
296,Niger,Crustaceans,0.0504570622
297,Niger,Spices,0.0502788514
298,Niger,Crude Petroleum,0.0491629297
299,Niger,Other Hides and Skins,0.0490754417
300,Namibia,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.1367275864
301,Namibia,Cocoa Beans,0.1284044791
302,Namibia,Wool,0.1273189333
303,Namibia,Raw Cotton,0.1258377254
304,Namibia,Precious Metal Ore,0.1226626609
305,Namibia,Copper Ore,0.1204945747
306,Namibia,Crude Petroleum,0.1199280904
307,Namibia,Other Oily Seeds,0.1182976908
308,Namibia,Chromium Ore,0.1182909289
309,Namibia,Raw Sugar,0.1176462634
310,Mozambique,Manganese Ore,0.1547102537
311,Mozambique,Cocoa Beans,0.1435183027
312,Mozambique,Tin Ores,0.1326386053
313,Mozambique,Insect Resins,0.1292017456
314,Mozambique,Crude Petroleum,0.1250094484
315,Mozambique,Aluminium Ore,0.1215639745
316,Mozambique,Palm Oil,0.1191448882
317,Mozambique,Tropical Fruits,0.1186481271
318,Mozambique,Non-fillet Frozen Fish,0.1109936948
319,Mozambique,Soap,0.1107462236
320,Sao Tome and Principe,Collector's Items,0.0538244016
321,Sao Tome and Principe,Scrap Copper,0.0517352751
322,Sao Tome and Principe,Non-fillet Frozen Fish,0.0507371513
323,Sao Tome and Principe,Precious Metal Scraps,0.0499830105
324,Sao Tome and Principe,Surveying Equipment,0.0497192339
325,Sao Tome and Principe,Rough Wood,0.0493459234
326,Sao Tome and Principe,Sawn Wood,0.0491044984
327,Sao Tome and Principe,Recreational Boats,0.0486531672
328,Sao Tome and Principe,Scrap Plastic,0.0483478163
329,Sao Tome and Principe,Recovered Paper,0.0481158149
330,Senegal,Cocoa Beans,0.198138871
331,Senegal,Raw Sugar,0.1850828635
332,Senegal,Spices,0.1761103042
333,Senegal,Bananas,0.1757214596
334,Senegal,Crude Petroleum,0.1755145264
335,Senegal,Molasses,0.1746681161
336,Senegal,Other Processed Fruits and Nuts,0.1733400403
337,Senegal,Palm Oil,0.1726575297
338,Senegal,Dried Legumes,0.1706209017
339,Senegal,Petroleum Gas,0.1687338577
340,Rwanda,Manganese Ore,0.0808193001
341,Rwanda,Cocoa Beans,0.0788355673
342,Rwanda,Other Oily Seeds,0.0724755343
343,Rwanda,Insect Resins,0.0701660881
344,Rwanda,Palm Oil,0.0679295218
345,Rwanda,Raw Sugar,0.0678847397
346,Rwanda,Raw Cotton,0.0677129497
347,Rwanda,Molasses,0.0672285303
348,Rwanda,Soap,0.0668623936
349,Rwanda,Perfume Plants,0.0656010434
350,Nigeria,Manganese Ore,0.1118849656
351,Nigeria,Gold,0.099327592
352,Nigeria,Raw Cotton,0.0896153469
353,Nigeria,Palm Oil,0.0841831482
354,Nigeria,Tropical Fruits,0.0804466261
355,Nigeria,Aluminium Ore,0.0801759174
356,Nigeria,Ground Nuts,0.0785425768
